"variant","semana","ano","n","freq","Actualizacion","Fuente"
"VOI Iota",15,2021,10,0.03571428571428571,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",15,2021,10,0.03571428571428571,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",15,2021,20,0.07142857142857142,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",15,2021,90,0.32142857142857145,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",15,2021,150,0.5357142857142857,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",16,2021,10,0.040160642570281124,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",16,2021,30,0.12048192771084337,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",16,2021,30,0.12048192771084337,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",16,2021,70,0.28112449799196787,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",16,2021,109,0.43775100401606426,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",17,2021,10,0.0199203187250996,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",17,2021,20,0.0398406374501992,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",17,2021,40,0.0796812749003984,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",17,2021,159,0.31673306772908366,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",17,2021,273,0.5438247011952191,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",18,2021,10,0.01564945226917058,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",18,2021,10,0.01564945226917058,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",18,2021,10,0.01564945226917058,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",18,2021,40,0.06259780907668232,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",18,2021,60,0.09389671361502347,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",18,2021,229,0.35837245696400627,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",18,2021,280,0.4381846635367762,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",19,2021,10,0.010752688172043012,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",19,2021,30,0.03225806451612903,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",19,2021,40,0.043010752688172046,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",19,2021,70,0.07526881720430108,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",19,2021,130,0.13978494623655913,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",19,2021,280,0.3010752688172043,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",19,2021,370,0.3978494623655914,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",20,2021,20,0.01680672268907563,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",20,2021,30,0.025210084033613446,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",20,2021,30,0.025210084033613446,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",20,2021,160,0.13445378151260504,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",20,2021,390,0.3277310924369748,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",20,2021,560,0.47058823529411764,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Epsilon",21,2021,10,0.008620689655172414,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",21,2021,10,0.008620689655172414,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Kappa",21,2021,10,0.008620689655172414,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",21,2021,60,0.05172413793103448,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",21,2021,200,0.1724137931034483,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",21,2021,380,0.3275862068965517,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",21,2021,490,0.4224137931034483,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",22,2021,20,0.015151515151515152,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",22,2021,120,0.09090909090909091,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",22,2021,280,0.21212121212121213,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",22,2021,360,0.2727272727272727,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",22,2021,540,0.4090909090909091,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",23,2021,10,0.010649627263045794,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",23,2021,90,0.09584664536741214,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",23,2021,120,0.12779552715654952,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",23,2021,170,0.1810436634717785,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",23,2021,549,0.5846645367412141,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",24,2021,50,0.037341299477221805,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",24,2021,90,0.06721433905899925,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",24,2021,130,0.0970873786407767,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",24,2021,1069,0.7983569828230023,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Iota",25,2021,20,0.006600660066006601,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",25,2021,200,0.066006600660066,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",25,2021,200,0.066006600660066,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",25,2021,310,0.10231023102310231,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",25,2021,2300,0.759075907590759,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",26,2021,30,0.012526096033402923,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",26,2021,150,0.06263048016701461,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",26,2021,199,0.08308977035490606,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",26,2021,2016,0.8417536534446765,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",27,2021,40,0.024721878862793572,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",27,2021,40,0.024721878862793572,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",27,2021,80,0.049443757725587144,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",27,2021,1458,0.9011124845488258,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",28,2021,20,0.008417508417508417,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",28,2021,30,0.012626262626262626,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",28,2021,70,0.029461279461279462,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",28,2021,2256,0.9494949494949495,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Alpha",29,2021,50,0.011165698972755694,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",29,2021,59,0.013175524787851719,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",29,2021,119,0.02657436355515855,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",29,2021,4250,0.949084412684234,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",30,2021,40,0.018441678192715538,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",30,2021,2129,0.9815583218072844,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",31,2021,30,0.009511731135066582,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",31,2021,40,0.012682308180088777,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",31,2021,3084,0.9778059606848446,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Lambda",32,2021,20,0.007104795737122558,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",32,2021,30,0.010657193605683837,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",32,2021,2765,0.9822380106571936,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",33,2021,29,0.009880749574105622,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",33,2021,2906,0.9901192504258943,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",34,2021,1860,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",35,2021,1859,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",36,2021,10,0.006035003017501509,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",36,2021,1647,0.9939649969824985,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Gamma",37,2021,10,0.008071025020177562,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",37,2021,1229,0.9919289749798225,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",38,2021,1508,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",39,2021,1618,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",40,2021,1769,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",41,2021,1567,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",42,2021,1283,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",43,2021,1270,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",44,2021,899,1,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOI Mu",45,2021,9,0.008506616257088847,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",45,2021,1049,0.9914933837429112,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",46,2021,20,0.016736401673640166,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",46,2021,1175,0.9832635983263598,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",47,2021,10,0.009727626459143969,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",47,2021,1018,0.9902723735408561,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",48,2021,30,0.027051397655545536,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",48,2021,1079,0.9729486023444545,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",49,2021,80,0.07042253521126761,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",49,2021,1056,0.9295774647887324,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",50,2021,10,0.005621135469364812,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",50,2021,710,0.3991006183249016,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",50,2021,1059,0.5952782462057336,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",51,2021,530,0.167192429022082,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",51,2021,2640,0.832807570977918,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",52,2021,60,0.011848341232227487,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",52,2021,570,0.11255924170616113,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",52,2021,4434,0.8755924170616114,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",1,2022,10,0.002020610224287735,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",1,2022,10,0.002020610224287735,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",1,2022,20,0.00404122044857547,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",1,2022,30,0.006061830672863205,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",1,2022,169,0.03414831279046272,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",1,2022,4710,0.9517074156395231,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",2,2022,10,0.0040683482506102524,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",2,2022,30,0.012205044751830757,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",2,2022,50,0.02034174125305126,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",2,2022,2368,0.9633848657445078,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",3,2022,10,0.002066969822240595,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",3,2022,20,0.00413393964448119,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",3,2022,20,0.00413393964448119,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",3,2022,4788,0.989665150888797,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"VOC Delta",4,2022,9,0.002069441250862267,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",4,2022,4340,0.9979305587491377,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",5,2022,10,0.004032258064516129,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",5,2022,2470,0.9959677419354839,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",6,2022,10,0.005186721991701245,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",6,2022,1918,0.9948132780082988,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",7,2022,20,0.011049723756906077,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",7,2022,1790,0.988950276243094,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",8,2022,10,0.00510204081632653,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",8,2022,1950,0.9948979591836735,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",9,2022,60,0.04480955937266617,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",9,2022,1279,0.9551904406273338,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",10,2022,10,0.008340283569641367,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",10,2022,20,0.016680567139282735,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",10,2022,140,0.11676396997497915,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",10,2022,1029,0.8582151793160967,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",11,2022,60,0.06984866123399301,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",11,2022,110,0.1280558789289872,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",11,2022,689,0.8020954598370198,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",12,2022,170,0.25,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",12,2022,510,0.75,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",13,2022,469,0.42714025500910746,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",13,2022,629,0.5728597449908925,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",14,2022,389,0.47496947496947495,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",14,2022,430,0.525030525030525,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",15,2022,129,0.30787589498806683,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",15,2022,290,0.6921241050119332,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",16,2022,239,0.25782092772384035,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",16,2022,688,0.7421790722761596,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",17,2022,120,0.16216216216216217,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",17,2022,620,0.8378378378378378,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",18,2022,10,0.010893246187363835,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",18,2022,10,0.010893246187363835,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",18,2022,20,0.02178649237472767,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",18,2022,109,0.1187363834422658,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",18,2022,769,0.8376906318082789,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",19,2022,10,0.009708737864077669,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",19,2022,20,0.019417475728155338,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",19,2022,30,0.02912621359223301,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",19,2022,970,0.941747572815534,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",20,2022,10,0.0068634179821551134,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",20,2022,10,0.0068634179821551134,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",20,2022,49,0.033630748112560054,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",20,2022,80,0.05490734385724091,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",20,2022,1308,0.8977350720658888,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",21,2022,40,0.019627085377821395,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",21,2022,70,0.03434739941118744,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",21,2022,80,0.03925417075564279,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",21,2022,190,0.09322865554465162,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",21,2022,1658,0.8135426889106968,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",22,2022,20,0.008460236886632826,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",22,2022,40,0.01692047377326565,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",22,2022,87,0.03680203045685279,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",22,2022,318,0.13451776649746192,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",22,2022,1899,0.8032994923857868,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",23,2022,30,0.011202389843166542,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",23,2022,60,0.022404779686333084,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",23,2022,219,0.08177744585511576,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",23,2022,560,0.20911127707244212,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",23,2022,1809,0.6755041075429425,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",24,2022,30,0.008112493239588967,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",24,2022,80,0.02163331530557058,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",24,2022,469,0.1268253109789075,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",24,2022,1149,0.3107084910762574,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",24,2022,1970,0.5327203893996755,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",25,2022,320,0.0656141070330121,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",25,2022,650,0.13327865491080582,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",25,2022,1819,0.37297518966577814,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",25,2022,2088,0.4281320483904039,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",26,2022,9,0.0010997067448680353,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",26,2022,540,0.06598240469208211,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",26,2022,860,0.1050830889540567,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",26,2022,1667,0.20369012707722386,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",26,2022,5108,0.6241446725317693,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",27,2022,10,0.0033112582781456954,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",27,2022,270,0.08940397350993377,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",27,2022,300,0.09933774834437085,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",27,2022,310,0.10264900662251655,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",27,2022,2130,0.7052980132450332,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",28,2022,10,0.0028653295128939827,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",28,2022,200,0.05730659025787966,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",28,2022,350,0.10028653295128939,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",28,2022,370,0.10601719197707736,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",28,2022,2560,0.7335243553008596,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",29,2022,260,0.044293015332197615,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",29,2022,430,0.07325383304940375,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",29,2022,460,0.07836456558773425,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",29,2022,4720,0.8040885860306644,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",30,2022,10,0.003955696202531646,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",30,2022,80,0.03164556962025317,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",30,2022,190,0.07515822784810126,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",30,2022,200,0.07911392405063292,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",30,2022,2048,0.810126582278481,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BF.7",31,2022,20,0.006743088334457181,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
